Symbolic Onset Modification Parameters, , , ,Symbolic Onset Interval, ,Tempo Modification Parameters, ,Symbolic Onset Interval,
-0.011538005234546983,-0.1000958601218466,0.10863490926862043,-0.5291169107111546,-0.35625,0.76875,-14.4606146576814,-4.151593971798999,-0.35625,0.0825
0.0,0.0,0.0,0.0,0.76875,0.9875,-3.800373659804253,-5.031063854123864,0.0825,0.52125
-0.08467473193553762,0.06600721739251225,-0.29690979088198216,-0.6996299767012462,0.9875,2.0125,32.371752017360926,-23.88578436334621,0.52125,0.76875
0.018135085036517888,-0.2417777405229256,-0.30726280358452385,-0.27021396100627143,2.0125,2.545625,0.0,1.0,0.76875,0.854063
,,,,,,0.0,1.0,0.854063,0.939376
,,,,,,-21.819287610722373,21.49651511860994,0.939376,0.9875
,,,,,,-1.108198078801114,1.0443142058376955,0.9875,1.38725
,,,,,,0.3266320773930768,-0.946153928342696,1.38725,1.787
,,,,,,0.9382519818155827,-2.039118697545714,1.787,2.0125
,,,,,,0.15033983628376293,-0.45344550466292655,2.0125,2.220419
,,,,,,0.06889374238709743,-0.2726010502989864,2.220419,2.428338
,,,,,,0.4438441406312446,-1.1831073504703824,2.428338,2.545625
